iter	Passed	Remaining
569	139242	105042
570	139479	104792
571	139718	104544
572	139957	104296
573	140190	104044
574	140430	103796
575	140669	103548
576	140920	103309
577	141181	103077
578	141445	102847
579	141698	102609
580	141972	102386
581	142277	102185
582	142571	101976
583	142829	101741
584	143091	101509
585	143351	101275
586	143599	101033
587	143845	100789
588	144092	100546
589	144391	100339
590	144651	100105
591	144901	99864
592	145148	99620
593	145398	99380
594	145652	99141
595	145904	98901
596	146144	98653
597	146382	98404
598	146625	98158
599	146878	97918
600	147129	97678
601	147387	97442
602	147639	97202
603	147894	96963
604	148139	96719
605	148387	96476
606	148642	96238
607	148891	95995
608	149147	95757
609	149395	95514
610	149654	95278
611	149914	95043
612	150177	94810
613	150431	94570
614	150676	94326
615	150940	94092
616	151200	93856
617	151455	93617
618	151701	93373
619	151946	93128
620	152190	92882
621	152451	92647
622	152706	92408
623	152947	92160
624	153192	91915
625	153430	91666
626	153668	91416
627	153906	91167
628	154150	90921
629	154390	90673
630	154630	90425
631	154868	90176
632	155099	89923
633	155343	89677
634	155587	89432
635	155834	89188
636	156069	88937
637	156306	88688
638	156551	88443
639	156794	88197
640	157036	87950
641	157279	87704
642	157523	87458
643	157763	87210
644	158009	86966
645	158253	86720
646	158497	86475
647	158734	86226
648	158973	85977
649	159208	85727
650	159454	85483
651	159696	85236
652	159938	84990
653	160171	84739
654	160409	84490
655	160712	84275
656	160953	84029
657	161192	83780
658	161476	83556
659	161721	83310
660	161961	83063
661	162205	82818
662	162447	82571
663	162689	82325
664	162932	82078
665	163174	81832
666	163414	81584
667	163657	81338
668	163899	81092
669	164142	80846
670	164381	80598
671	164616	80348
672	164858	80102
673	165097	79854
674	165330	79603
675	165571	79356
676	165810	79108
677	166048	78860
678	166288	78613
679	166537	78370
680	166779	78124
681	167023	77878
682	167265	77632
683	167505	77385
684	167744	77137
685	167988	76892
686	168226	76644
687	168463	76396
688	168708	76151
689	168950	75905
690	169188	75657
691	169426	75409
692	169670	75164
693	169908	74916
694	170149	74670
695	170391	74423
696	170638	74180
697	170880	73933
698	171125	73689
699	171367	73443
700	171610	73197
701	171854	72952
702	172103	72709
703	172360	72469
704	172605	72225
705	172858	71983
706	173099	71737
707	173341	71491
708	173581	71244
709	173823	70998
710	174057	70748
711	174295	70501
712	174534	70254
713	174771	70006
714	175010	69759
715	175245	69510
716	175489	69265
717	175731	69019
718	175975	68774
719	176212	68526
720	176447	68278
721	176679	68029
722	176918	67782
723	177154	67533
724	177404	67291
725	177644	67045
726	177881	66797
727	178125	66552
728	178365	66306
729	178610	66061
730	178848	65814
731	179088	65567
732	179326	65320
733	179563	65073
734	179805	64827
735	180045	64581
736	180288	64336
737	180529	64090
738	180770	63844
739	181004	63596
740	181247	63351
741	181484	63103
742	181724	62857
743	181969	62613
744	182200	62363
745	182431	62114
746	182671	61868
747	182909	61621
748	183140	61372
749	183371	61123
750	183605	60875
751	183836	60626
752	184068	60378
753	184306	60131
754	184541	59884
755	184771	59635
756	184995	59384
757	185229	59136
758	185459	58887
759	185699	58641
760	185935	58395
761	186159	58144
762	186388	57895
763	186622	57647
764	186853	57399
765	187091	57153
766	187316	56903
767	187550	56655
768	187789	56410
769	188019	56161
770	188252	55914
771	188483	55665
772	188720	55419
773	188952	55172
774	189181	54923
775	189415	54676
776	189649	54429
777	189888	54184
778	190128	53938
779	190360	53691
780	190598	53445
781	190838	53200
782	191071	52953
783	191296	52704
784	191523	52455
785	191766	52211
786	192008	51966
787	192241	51719
788	192477	51473
789	192715	51228
790	192945	50980
791	193174	50732
792	193406	50485
793	193648	50241
794	193886	49995
795	194110	49746
796	194342	49500
797	194575	49253
798	194809	49007
799	195039	48759
800	195280	48515
801	195509	48267
802	195742	48021
803	195971	47774
804	196204	47527
805	196440	47282
806	196677	47036
807	196909	46790
808	197144	46544
809	197377	46298
810	197614	46053
811	197845	45806
812	198071	45558
813	198297	45311
814	198534	45066
815	198768	44820
816	199005	44575
817	199243	44330
818	199477	44084
819	199713	43839
820	199945	43593
821	200180	43348
822	200415	43102
823	200652	42857
824	200894	42613
825	201198	42383
826	201443	42139
827	201698	41898
828	201996	41666
829	202270	41428
830	202531	41188
831	202777	40945
832	203027	40703
833	203276	40460
834	203524	40217
835	203767	39973
836	204005	39728
837	204243	39483
838	204492	39241
839	204741	38998
840	204989	38755
841	205232	38511
842	205469	38266
843	205718	38023
844	205964	37780
845	206214	37537
846	206463	37295
847	206723	37054
848	206973	36811
849	207212	36566
850	207465	36324
851	207711	36081
852	207969	35840
853	208212	35596
854	208458	35352
855	208712	35110
856	208979	34870
857	209243	34630
858	209500	34388
859	209754	34146
860	210015	33904
861	210265	33662
862	210509	33418
863	210757	33174
864	211004	32931
865	211263	32689
866	211528	32449
867	211788	32207
868	212039	31964
869	212294	31722
870	212571	31483
871	212824	31240
872	213096	31000
873	213354	30758
874	213593	30513
875	213832	30268
876	214080	30024
877	214320	29780
878	214560	29535
879	214803	29291
880	215042	29046
881	215284	28802
882	215524	28557
883	215766	28313
884	216060	28075
885	216301	27831
886	216539	27586
887	216829	27347
888	217071	27103
889	217313	26858
890	217555	26614
891	217795	26369
892	218037	26125
893	218278	25880
894	218521	25636
895	218760	25391
896	218999	25147
897	219236	24902
898	219479	24657
899	219723	24413
900	219968	24169
901	220202	23924
902	220444	23680
903	220684	23435
904	220924	23190
905	221180	22948
906	221444	22705
907	221697	22462
908	221944	22218
909	222200	21975
910	222462	21733
911	222717	21490
912	222967	21246
913	223230	21004
914	223487	20761
915	223740	20517
916	223992	20274
917	224251	20031
918	224502	19787
919	224764	19544
920	225014	19300
921	225270	19057
922	225516	18813
923	225759	18568
924	226013	18325
925	226267	18081
926	226523	17838
927	226779	17594
928	227021	17350
929	227260	17105
930	227504	16861
931	227747	16616
932	227993	16372
933	228232	16127
934	228476	15883
935	228714	15638
936	228955	15394
937	229195	15149
938	229441	14905
939	229681	14660
940	229918	14415
941	230157	14171
942	230404	13926
943	230653	13682
944	230899	13438
945	231142	13194
946	231379	12949
947	231627	12705
948	231865	12460
949	232101	12215
950	232337	11971
951	232577	11726
952	232814	11481
953	233054	11237
954	233306	10993
955	233548	10749
956	233793	10504
957	234031	10260
958	234264	10015
959	234507	9771
960	234750	9526
961	234991	9282
962	235229	9037
963	235474	8793
964	235717	8549
965	235958	8304
966	236202	8060
967	236446	7816
968	236689	7572
969	236925	7327
970	237165	7083
971	237404	6838
972	237645	6594
973	237884	6350
974	238118	6105
975	238354	5861
976	238597	5616
977	238843	5372
978	239085	5128
979	239321	4884
980	239557	4639
981	239796	4395
982	240037	4151
983	240274	3906
984	240512	3662
985	240753	3418
986	240996	3174
987	241230	2929
988	241469	2685
989	241711	2441
990	241955	2197
991	242205	1953
992	242444	1709
993	242685	1464
994	242926	1220
995	243160	976
996	243401	732
997	243644	488
998	243882	244
999	244122	0
